,Unnamed: 0,experiment,experiment_version,makespan,downtime_over_makespan,downtime_per_machine,usage,total_work_content,status,runtime,gap
0,0.0,Experiment 1,3 Layers,35.0,"[[(0, 0), (3, 0), (4, 0), (7, 0), (8, 0), (11, 0), (12, 0), (15, 0), (16, 0), (18, 0), (21, 0), (22, 1), (25, 0), (27, 0), (29, 0), (31, 4.0)], [(0, 4), (5, 3), (9, 2), (14, 2), (17, 4), (24, 11.0)], [(0, 12), (13, 9), (23, 8), (33, 2.0)], [(0, 3), (6, 1), (10, 5), (18, 0), (20, 5), (27, 0), (29, 0), (31, 4.0)], [(0, 5), (6, 0), (9, 0), (10, 0), (13, 0), (14, 0), (17, 0), (18, 0), (21, 0), (23, 0), (24, 0), (27, 0), (29, 0), (31, 0), (33, 0), (35, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4.0], [4, 3, 2, 2, 4, 11.0], [12, 9, 8, 2.0], [3, 1, 5, 0, 5, 0, 0, 4.0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 30.0, 0.8571428571428571), (1, 9.0, 0.2571428571428571), (2, 4.0, 0.11428571428571428), (3, 17.0, 0.4857142857142857), (4, 30.0, 0.8571428571428571)]",90,2,18.085999965667725,0.0
1,1.0,Experiment 1,4 Layers,38.0,"[[(0, 0), (3, 0), (5, 0), (6, 0), (8, 0), (10, 0), (13, 0), (14, 0), (17, 0), (18, 0), (20, 0), (23, 0), (25, 0), (26, 0), (29, 2), (32, 6.0)], [(0, 17), (20, 3), (26, 6), (33, 5.0)], [(0, 6), (7, 2), (11, 3), (15, 5), (21, 5), (27, 11.0)], [(0, 3), (6, 2), (10, 0), (12, 1), (16, 6), (24, 2), (28, 1), (32, 6.0)], [(0, 6), (9, 6), (16, 0), (19, 1), (23, 3), (29, 4), (34, 4.0)], [(0, 7), (8, 2), (12, 1), (15, 6), (22, 5), (28, 10.0)], [(0, 12), (14, 10), (26, 4), (32, 0), (35, 3.0)], [(0, 8), (9, 0), (12, 0), (14, 0), (16, 0), (17, 0), (19, 0), (22, 0), (23, 0), (26, 0), (28, 0), (29, 0), (32, 0), (34, 0), (35, 0), (38, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6.0], [17, 3, 6, 5.0], [6, 2, 3, 5, 5, 11.0], [3, 2, 0, 1, 6, 2, 1, 6.0], [6, 6, 0, 1, 3, 4, 4.0], [7, 2, 1, 6, 5, 10.0], [12, 10, 4, 0, 3.0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 30.0, 0.7894736842105263), (1, 7.0, 0.18421052631578946), (2, 6.0, 0.15789473684210525), (3, 17.0, 0.4473684210526316), (4, 14.0, 0.3684210526315789), (5, 7.0, 0.18421052631578946), (6, 9.0, 0.23684210526315788), (7, 30.0, 0.7894736842105263)]",120,2,73.62199997901917,0.0
2,2.0,Experiment 1,5 Layers,40.0,"[[(0, 0), (3, 0), (6, 0), (7, 0), (8, 0), (10, 0), (13, 0), (15, 0), (16, 0), (18, 0), (20, 0), (23, 0), (26, 0), (27, 0), (28, 2), (32, 8.0)], [(0, 3), (6, 1), (8, 0), (9, 14), (26, 0), (29, 11.0)], [(0, 15), (17, 0), (18, 4), (24, 3), (28, 0), (29, 3), (34, 6.0)], [(0, 6), (9, 1), (12, 1), (16, 2), (20, 20.0)], [(0, 8), (9, 9), (19, 7), (29, 0), (32, 8.0)], [(0, 9), (10, 7), (19, 9), (29, 0), (30, 4), (36, 4.0)], [(0, 6), (9, 0), (12, 1), (15, 1), (19, 2), (23, 1), (26, 14.0)], [(0, 10), (11, 8), (20, 9), (30, 2), (35, 5.0)], [(0, 9), (10, 9), (21, 5), (28, 2), (31, 5), (38, 2.0)], [(0, 9), (12, 0), (15, 0), (17, 2), (22, 1), (25, 4), (32, 8.0)], [(0, 10), (11, 0), (12, 0), (15, 0), (18, 0), (20, 0), (21, 0), (23, 0), (26, 0), (28, 0), (30, 0), (31, 0), (32, 0), (35, 0), (38, 0), (40, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8.0], [3, 1, 0, 14, 0, 11.0], [15, 0, 4, 3, 0, 3, 6.0], [6, 1, 1, 2, 20.0], [8, 9, 7, 0, 8.0], [9, 7, 9, 0, 4, 4.0], [6, 0, 1, 1, 2, 1, 14.0], [10, 8, 9, 2, 5.0], [9, 9, 5, 2, 5, 2.0], [9, 0, 0, 2, 1, 4, 8.0], [10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 30.0, 0.75), (1, 11.0, 0.275), (2, 9.0, 0.225), (3, 10.0, 0.25), (4, 8.0, 0.2), (5, 7.0, 0.175), (6, 15.0, 0.375), (7, 6.0, 0.15), (8, 8.0, 0.2), (9, 16.0, 0.4), (10, 30.0, 0.75)]",150,2,41.801000118255615,0.0
3,3.0,Experiment 2,Duration 1,38.0,"[[(0, 0), (3, 0), (5, 0), (6, 0), (8, 0), (10, 0), (13, 0), (14, 0), (17, 0), (18, 0), (20, 0), (23, 0), (25, 0), (26, 0), (29, 2), (32, 6.0)], [(0, 17), (20, 3), (26, 6), (33, 5.0)], [(0, 6), (7, 2), (11, 3), (15, 5), (21, 5), (27, 11.0)], [(0, 3), (6, 2), (10, 0), (12, 1), (16, 6), (24, 2), (28, 1), (32, 6.0)], [(0, 6), (9, 6), (16, 0), (19, 1), (23, 3), (29, 4), (34, 4.0)], [(0, 7), (8, 2), (12, 1), (15, 6), (22, 5), (28, 10.0)], [(0, 12), (14, 10), (26, 4), (32, 0), (35, 3.0)], [(0, 8), (9, 0), (12, 0), (14, 0), (16, 0), (17, 0), (19, 0), (22, 0), (23, 0), (26, 0), (28, 0), (29, 0), (32, 0), (34, 0), (35, 0), (38, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6.0], [17, 3, 6, 5.0], [6, 2, 3, 5, 5, 11.0], [3, 2, 0, 1, 6, 2, 1, 6.0], [6, 6, 0, 1, 3, 4, 4.0], [7, 2, 1, 6, 5, 10.0], [12, 10, 4, 0, 3.0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 30.0, 0.7894736842105263), (1, 7.0, 0.18421052631578946), (2, 6.0, 0.15789473684210525), (3, 17.0, 0.4473684210526316), (4, 14.0, 0.3684210526315789), (5, 7.0, 0.18421052631578946), (6, 9.0, 0.23684210526315788), (7, 30.0, 0.7894736842105263)]",120,2,74.70900011062622,0.0
4,4.0,Experiment 2,Duration 2,55.0,"[[(0, 0), (4, 0), (6, 0), (9, 0), (13, 0), (15, 0), (19, 0), (21, 0), (25, 0), (27, 0), (31, 0), (33, 0), (36, 0), (39, 1), (43, 0), (46, 9.0)], [(0, 15), (17, 2), (23, 4), (29, 26.0)], [(0, 6), (8, 1), (12, 9), (23, 10), (35, 1), (39, 0), (42, 13.0)], [(0, 4), (8, 5), (17, 8), (29, 2), (35, 8), (46, 0), (49, 6.0)], [(0, 8), (10, 7), (21, 2), (27, 2), (31, 4), (37, 18.0)], [(0, 17), (19, 4), (25, 15), (43, 0), (46, 3), (52, 3.0)], [(0, 8), (12, 1), (16, 13), (33, 2), (39, 7), (49, 6.0)], [(0, 10), (12, 0), (16, 0), (19, 0), (21, 0), (25, 0), (27, 0), (31, 0), (33, 0), (37, 0), (39, 0), (43, 0), (46, 0), (49, 0), (52, 0), (55, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9.0], [15, 2, 4, 26.0], [6, 1, 9, 10, 1, 0, 13.0], [4, 5, 8, 2, 8, 0, 6.0], [8, 7, 2, 2, 4, 18.0], [17, 4, 15, 0, 3, 3.0], [8, 1, 13, 2, 7, 6.0], [10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 45.0, 0.8181818181818182), (1, 8.0, 0.14545454545454545), (2, 15.0, 0.2727272727272727), (3, 22.0, 0.4), (4, 14.0, 0.2545454545454545), (5, 13.0, 0.23636363636363636), (6, 18.0, 0.32727272727272727), (7, 45.0, 0.8181818181818182)]",180,2,105.88000011444092,0.0
5,5.0,Experiment 2,Duration 3,75.0,"[[(0, 0), (4, 0), (8, 0), (13, 0), (18, 0), (23, 0), (26, 0), (30, 0), (35, 0), (40, 0), (43, 1), (47, 0), (50, 0), (53, 0), (57, 0), (61, 14.0)], [(0, 26), (29, 15), (47, 0), (50, 0), (53, 22.0)], [(0, 11), (15, 38), (56, 19.0)], [(0, 4), (8, 5), (18, 0), (23, 0), (28, 2), (34, 1), (40, 0), (45, 12), (61, 0), (65, 10.0)], [(0, 18), (23, 6), (32, 8), (45, 4), (52, 1), (56, 0), (59, 16.0)], [(0, 11), (15, 0), (19, 18), (41, 12), (56, 9), (69, 6.0)], [(0, 23), (28, 3), (36, 9), (50, 11), (65, 10.0)], [(0, 15), (19, 0), (23, 0), (28, 0), (33, 0), (36, 0), (41, 0), (45, 0), (50, 0), (55, 0), (58, 0), (61, 0), (64, 0), (67, 0), (71, 0), (75, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 14.0], [26, 15, 0, 0, 22.0], [11, 38, 19.0], [4, 5, 0, 0, 2, 1, 0, 12, 0, 10.0], [18, 6, 8, 4, 1, 0, 16.0], [11, 0, 18, 12, 9, 6.0], [23, 3, 9, 11, 10.0], [15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 60.0, 0.8), (1, 12.0, 0.16), (2, 7.0, 0.09333333333333334), (3, 41.0, 0.5466666666666666), (4, 22.0, 0.29333333333333333), (5, 19.0, 0.25333333333333335), (6, 19.0, 0.25333333333333335), (7, 60.0, 0.8)]",240,9,1800.0889999866486,0.0266666666666666
6,6.0,Experiment 2,Duration 4,93.0,"[[(0, 0), (6, 0), (12, 0), (17, 0), (22, 0), (27, 0), (31, 0), (35, 0), (40, 0), (46, 0), (52, 0), (58, 0), (63, 6), (73, 0), (77, 0), (81, 12.0)], [(0, 6), (12, 34), (52, 6), (64, 9), (77, 0), (81, 0), (85, 8.0)], [(0, 17), (22, 9), (35, 0), (39, 54.0)], [(0, 12), (18, 4), (27, 0), (32, 11), (48, 4), (58, 5), (68, 25.0)], [(0, 12), (18, 17), (39, 13), (58, 0), (64, 21), (89, 4.0)], [(0, 24), (29, 10), (43, 5), (53, 24), (81, 0), (85, 8.0)], [(0, 18), (24, 3), (32, 1), (38, 26), (70, 1), (76, 17.0)], [(0, 18), (24, 0), (30, 0), (35, 0), (40, 0), (45, 0), (49, 0), (53, 0), (58, 0), (64, 0), (70, 0), (76, 0), (81, 0), (85, 0), (89, 0), (93, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 12.0], [6, 34, 6, 9, 0, 0, 8.0], [17, 9, 0, 54.0], [12, 4, 0, 11, 4, 5, 25.0], [12, 17, 13, 0, 21, 4.0], [24, 10, 5, 24, 0, 8.0], [18, 3, 1, 26, 1, 17.0], [18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 75.0, 0.8064516129032258), (1, 30.0, 0.3225806451612903), (2, 13.0, 0.13978494623655913), (3, 32.0, 0.34408602150537637), (4, 26.0, 0.27956989247311825), (5, 22.0, 0.23655913978494625), (6, 27.0, 0.2903225806451613), (7, 75.0, 0.8064516129032258)]",300,9,1800.0260000228882,0.0215053763440858
7,7.0,Experiment 2,Duration 5,111.0,"[[(0, 0), (6, 0), (13, 0), (19, 0), (25, 0), (30, 0), (36, 0), (43, 0), (50, 0), (55, 0), (62, 0), (67, 0), (73, 0), (78, 0), (85, 0), (90, 21.0)], [(0, 56), (61, 12), (78, 0), (83, 28.0)], [(0, 25), (31, 2), (38, 35), (79, 12), (96, 15.0)], [(0, 6), (12, 1), (20, 0), (26, 11), (43, 0), (50, 0), (57, 5), (69, 16), (92, 19.0)], [(0, 40), (45, 5), (57, 6), (68, 15), (88, 23.0)], [(0, 12), (18, 13), (37, 7), (50, 28), (83, 4), (93, 5), (103, 8.0)], [(0, 20), (27, 0), (33, 24), (64, 5), (76, 16), (99, 12.0)], [(0, 20), (26, 1), (34, 0), (40, 0), (46, 0), (51, 0), (57, 0), (64, 0), (71, 0), (76, 0), (83, 0), (88, 0), (93, 0), (99, 0), (106, 0), (111, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.0], [56, 12, 0, 28.0], [25, 2, 35, 12, 15.0], [6, 1, 0, 11, 0, 0, 5, 16, 19.0], [40, 5, 6, 15, 23.0], [12, 13, 7, 28, 4, 5, 8.0], [20, 0, 24, 5, 16, 12.0], [20, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 90.0, 0.8108108108108109), (1, 15.0, 0.13513513513513514), (2, 22.0, 0.1981981981981982), (3, 53.0, 0.4774774774774775), (4, 22.0, 0.1981981981981982), (5, 34.0, 0.3063063063063063), (6, 34.0, 0.3063063063063063), (7, 90.0, 0.8108108108108109)]",360,9,1800.0550000667572,0.0180180180180178
8,8.0,Experiment 3,No Flexibility,38.0,"[[(0, 0), (2, 0), (5, 0), (6, 0), (9, 0), (10, 0), (13, 0), (14, 0), (17, 0), (18, 0), (20, 0), (22, 0), (24, 0), (26, 0), (29, 0), (30, 8.0)], [(0, 6), (7, 4), (12, 3), (16, 2), (19, 13), (33, 5.0)], [(0, 2), (4, 18), (24, 0), (26, 0), (28, 0), (30, 8.0)], [(0, 5), (8, 1), (12, 1), (16, 1), (20, 9), (32, 6.0)], [(0, 7), (8, 5), (14, 3), (18, 1), (20, 13), (34, 4.0)], [(0, 7), (9, 15), (26, 0), (28, 0), (30, 0), (32, 6.0)], [(0, 8), (11, 1), (15, 1), (19, 1), (23, 9), (35, 3.0)], [(0, 8), (9, 0), (11, 0), (14, 0), (15, 0), (18, 0), (19, 0), (22, 0), (23, 0), (26, 0), (28, 0), (30, 0), (32, 0), (34, 0), (35, 0), (38, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.0], [6, 4, 3, 2, 13, 5.0], [2, 18, 0, 0, 0, 8.0], [5, 1, 1, 1, 9, 6.0], [7, 5, 3, 1, 13, 4.0], [7, 15, 0, 0, 0, 6.0], [8, 1, 1, 1, 9, 3.0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 30.0, 0.7894736842105263), (1, 5.0, 0.13157894736842105), (2, 10.0, 0.2631578947368421), (3, 15.0, 0.39473684210526316), (4, 5.0, 0.13157894736842105), (5, 10.0, 0.2631578947368421), (6, 15.0, 0.39473684210526316), (7, 30.0, 0.7894736842105263)]",120,2,31.5699999332428,0.0
9,9.0,Experiment 3,Low Flexibility,38.0,"[[(0, 0), (3, 0), (5, 0), (6, 0), (8, 0), (10, 0), (13, 0), (14, 0), (17, 0), (18, 0), (20, 0), (23, 0), (25, 0), (26, 0), (29, 2), (32, 6.0)], [(0, 17), (20, 3), (26, 6), (33, 5.0)], [(0, 6), (7, 2), (11, 3), (15, 5), (21, 5), (27, 11.0)], [(0, 3), (6, 2), (10, 0), (12, 1), (16, 6), (24, 2), (28, 1), (32, 6.0)], [(0, 6), (9, 6), (16, 0), (19, 1), (23, 3), (29, 4), (34, 4.0)], [(0, 7), (8, 2), (12, 1), (15, 6), (22, 5), (28, 10.0)], [(0, 12), (14, 10), (26, 4), (32, 0), (35, 3.0)], [(0, 8), (9, 0), (12, 0), (14, 0), (16, 0), (17, 0), (19, 0), (22, 0), (23, 0), (26, 0), (28, 0), (29, 0), (32, 0), (34, 0), (35, 0), (38, 0)]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6.0], [17, 3, 6, 5.0], [6, 2, 3, 5, 5, 11.0], [3, 2, 0, 1, 6, 2, 1, 6.0], [6, 6, 0, 1, 3, 4, 4.0], [7, 2, 1, 6, 5, 10.0], [12, 10, 4, 0, 3.0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[(0, 30.0, 0.7894736842105263), (1, 7.0, 0.18421052631578946), (2, 6.0, 0.15789473684210525), (3, 17.0, 0.4473684210526316), (4, 14.0, 0.3684210526315789), (5, 7.0, 0.18421052631578946), (6, 9.0, 0.23684210526315788), (7, 30.0, 0.7894736842105263)]",120,2,73.8510000705719,0.0
