experiment,experiment_version,makespan,downtime_over_makespan,downtime_per_machine,usage,active_usage,total_work_content,status,runtime,gap
Experiment 0,No Flexibility,28.0,"[[(0.0, 28.0)], [(1, 2), (4, 1), (6, 1), (8, 1), (10, 18.0)], [(12, 1), (21, 7.0)], [(9, 1), (16, 12.0)], [(0.0, 1.0), (13, 2), (23, 5.0)], [(0.0, 5.0), (11, 3), (17, 1), (21, 1), (25, 3.0)], [(0.0, 3.0)], [(0.0, 28.0)]]","[[28.0], [2, 1, 1, 1, 18.0], [1, 7.0], [1, 12.0], [1.0, 2, 5.0], [5.0, 3, 1, 1, 3.0], [3.0], [28.0]]","[(0, 0.0, 0.0), (1, 5, 0.17857142857142858), (2, 20, 0.7142857142857143), (3, 15, 0.5357142857142857), (4, 20, 0.7142857142857143), (5, 15, 0.5357142857142857), (6, 25, 0.8928571428571429), (7, 0.0, 0.0)]","[(1, 5.0, 10.0, 0.5, 0, 10), (2, 20.0, 21.0, 0.9523809523809523, 0, 21), (3, 15.0, 16.0, 0.9375, 0, 16), (4, 20.0, 22.0, 0.9090909090909091, 1, 23), (5, 15.0, 20.0, 0.75, 5, 25), (6, 25.0, 25.0, 1.0, 3, 28)]",100,2,0.1399998664855957,0.0
Experiment 0,Low Flexibility,23.0,"[[(0.0, 23.0)], [(9, 2), (12, 11.0)], [(8, 1), (10, 2), (16, 7.0)], [(6, 1), (14, 1), (19, 4.0)], [(0.0, 4.0)], [(0.0, 1.0)], [(0.0, 4.0)], [(0.0, 23.0)]]","[[23.0], [2, 11.0], [1, 2, 7.0], [1, 1, 4.0], [4.0], [1.0], [4.0], [23.0]]","[(0, 0.0, 0.0), (1, 10, 0.43478260869565216), (2, 13, 0.5652173913043478), (3, 17, 0.7391304347826086), (4, 19, 0.8260869565217391), (5, 22, 0.9565217391304348), (6, 19, 0.8260869565217391), (7, 0.0, 0.0)]","[(1, 10.0, 12.0, 0.8333333333333334, 0, 12), (2, 13.0, 16.0, 0.8125, 0, 16), (3, 17.0, 19.0, 0.8947368421052632, 0, 19), (4, 19.0, 19.0, 1.0, 4, 23), (5, 22.0, 22.0, 1.0, 1, 23), (6, 19.0, 19.0, 1.0, 4, 23)]",100,2,2.566999912261963,0.0
Experiment 0,High Flexibility,21.0,"[[(0.0, 21.0)], [(4, 1), (9, 2), (15, 6.0)], [(9, 1), (16, 5.0)], [(13, 8.0)], [(0.0, 1.0)], [(0.0, 1.0)], [(0.0, 1.0)], [(0.0, 21.0)]]","[[21.0], [1, 2, 6.0], [1, 5.0], [8.0], [1.0], [1.0], [1.0], [21.0]]","[(0, 0.0, 0.0), (1, 12, 0.5714285714285714), (2, 15, 0.7142857142857143), (3, 13, 0.6190476190476191), (4, 20, 0.9523809523809523), (5, 20, 0.9523809523809523), (6, 20, 0.9523809523809523), (7, 0.0, 0.0)]","[(1, 12.0, 15.0, 0.8, 0, 15), (2, 15.0, 16.0, 0.9375, 0, 16), (3, 13.0, 13.0, 1.0, 0, 13), (4, 20.0, 20.0, 1.0, 1, 21), (5, 20.0, 20.0, 1.0, 1, 21), (6, 20.0, 20.0, 1.0, 1, 21)]",100,2,8.769000053405762,0.0
Experiment 1,No Flexibility,23.0,"[[(0.0, 23.0)], [(15, 8.0)], [(6, 2), (17, 6.0)], [(6, 2), (17, 6.0)], [(0.0, 3.0)], [(0.0, 3.0), (4, 2), (7, 5), (13, 1), (15, 2), (18, 5.0)], [(0.0, 3.0), (4, 2), (7, 5), (13, 1), (15, 2), (18, 5.0)], [(0.0, 23.0)]]","[[23.0], [8.0], [2, 6.0], [2, 6.0], [3.0], [3.0, 2, 5, 1, 2, 5.0], [3.0, 2, 5, 1, 2, 5.0], [23.0]]","[(0, 0.0, 0.0), (1, 15, 0.6521739130434783), (2, 15, 0.6521739130434783), (3, 15, 0.6521739130434783), (4, 20, 0.8695652173913043), (5, 5, 0.21739130434782608), (6, 5, 0.21739130434782608), (7, 0.0, 0.0)]","[(1, 15.0, 15.0, 1.0, 0, 15), (2, 15.0, 17.0, 0.8823529411764706, 0, 17), (3, 15.0, 17.0, 0.8823529411764706, 0, 17), (4, 20.0, 20.0, 1.0, 3, 23), (5, 5.0, 15.0, 0.3333333333333333, 3, 18), (6, 5.0, 15.0, 0.3333333333333333, 3, 18)]",75,2,0.14800000190734863,0.0
Experiment 1,Low Flexibility,16.0,"[[(0.0, 16.0)], [(15, 1.0)], [(15, 1.0)], [(15, 1.0)], [(0.0, 3.0), (7, 1), (9, 1)], [(0.0, 3.0)], [(0.0, 10.0)], [(0.0, 16.0)]]","[[16.0], [1.0], [1.0], [1.0], [3.0, 1, 1], [3.0], [10.0], [16.0]]","[(0, 0.0, 0.0), (1, 15, 0.9375), (2, 15, 0.9375), (3, 15, 0.9375), (4, 11, 0.6875), (5, 13, 0.8125), (6, 6, 0.375), (7, 0.0, 0.0)]","[(1, 15.0, 15.0, 1.0, 0, 15), (2, 15.0, 15.0, 1.0, 0, 15), (3, 15.0, 15.0, 1.0, 0, 15), (4, 11.0, 13.0, 0.8461538461538461, 3, 16), (5, 13.0, 13.0, 1.0, 3, 16), (6, 6.0, 6.0, 1.0, 10, 16)]",75,2,1.378999948501587,0.0
Experiment 1,High Flexibility,16.0,"[[(0.0, 16.0)], [(15, 1.0)], [(15, 1.0)], [(15, 1.0)], [(0.0, 3.0), (7, 4), (14, 1)], [(0.0, 3.0), (7, 3)], [(0.0, 3.0), (8, 1)], [(0.0, 16.0)]]","[[16.0], [1.0], [1.0], [1.0], [3.0, 4, 1], [3.0, 3], [3.0, 1], [16.0]]","[(0, 0.0, 0.0), (1, 15, 0.9375), (2, 15, 0.9375), (3, 15, 0.9375), (4, 8, 0.5), (5, 10, 0.625), (6, 12, 0.75), (7, 0.0, 0.0)]","[(1, 15.0, 15.0, 1.0, 0, 15), (2, 15.0, 15.0, 1.0, 0, 15), (3, 15.0, 15.0, 1.0, 0, 15), (4, 8.0, 13.0, 0.6153846153846154, 3, 16), (5, 10.0, 13.0, 0.7692307692307693, 3, 16), (6, 12.0, 13.0, 0.9230769230769231, 3, 16)]",75,2,5.129999876022339,0.0
Experiment 2,No Flexibility,27.0,"[[(0.0, 27.0)], [(20, 7.0)], [(25, 2.0)], [(20, 7.0)], [(0.0, 8.0), (9, 4), (15, 3), (19, 1), (21, 6.0)], [(0.0, 5.0), (7, 6), (15, 4), (23, 2)], [(0.0, 4.0), (7, 1), (11, 1), (15, 2), (23, 4.0)], [(0.0, 27.0)]]","[[27.0], [7.0], [2.0], [7.0], [8.0, 4, 3, 1, 6.0], [5.0, 6, 4, 2], [4.0, 1, 1, 2, 4.0], [27.0]]","[(0, 0.0, 0.0), (1, 20, 0.7407407407407407), (2, 25, 0.9259259259259259), (3, 20, 0.7407407407407407), (4, 5, 0.18518518518518517), (5, 10, 0.37037037037037035), (6, 15, 0.5555555555555556), (7, 0.0, 0.0)]","[(1, 20.0, 20.0, 1.0, 0, 20), (2, 25.0, 25.0, 1.0, 0, 25), (3, 20.0, 20.0, 1.0, 0, 20), (4, 5.0, 13.0, 0.38461538461538464, 8, 21), (5, 10.0, 22.0, 0.45454545454545453, 5, 27), (6, 15.0, 19.0, 0.7894736842105263, 4, 23)]",95,2,0.1959998607635498,0.0
Experiment 2,Low Flexibility,24.0,"[[(0.0, 24.0)], [(20, 4.0)], [(23, 1.0)], [(22, 2.0)], [(0.0, 7.0), (8, 1), (15, 5)], [(0.0, 12.0), (13, 3), (17, 1), (21, 1)], [(0.0, 10.0), (17, 1), (23, 1.0)], [(0.0, 24.0)]]","[[24.0], [4.0], [1.0], [2.0], [7.0, 1, 5], [12.0, 3, 1, 1], [10.0, 1, 1.0], [24.0]]","[(0, 0.0, 0.0), (1, 20, 0.8333333333333334), (2, 23, 0.9583333333333334), (3, 22, 0.9166666666666666), (4, 11, 0.4583333333333333), (5, 7, 0.2916666666666667), (6, 12, 0.5), (7, 0.0, 0.0)]","[(1, 20.0, 20.0, 1.0, 0, 20), (2, 23.0, 23.0, 1.0, 0, 23), (3, 22.0, 22.0, 1.0, 0, 22), (4, 11.0, 17.0, 0.6470588235294118, 7, 24), (5, 7.0, 12.0, 0.5833333333333334, 12, 24), (6, 12.0, 13.0, 0.9230769230769231, 10, 23)]",95,2,1.7249999046325684,0.0
Experiment 2,High Flexibility,23.0,"[[(0.0, 23.0)], [(22, 1.0)], [(22, 1.0)], [(21, 2.0)], [(0.0, 5.0), (7, 3), (15, 3), (20, 1)], [(0.0, 5.0), (7, 8), (16, 2), (21, 1)], [(0.0, 9.0), (12, 2)], [(0.0, 23.0)]]","[[23.0], [1.0], [1.0], [2.0], [5.0, 3, 3, 1], [5.0, 8, 2, 1], [9.0, 2], [23.0]]","[(0, 0.0, 0.0), (1, 22, 0.9565217391304348), (2, 22, 0.9565217391304348), (3, 21, 0.9130434782608695), (4, 11, 0.4782608695652174), (5, 7, 0.30434782608695654), (6, 12, 0.5217391304347826), (7, 0.0, 0.0)]","[(1, 22.0, 22.0, 1.0, 0, 22), (2, 22.0, 22.0, 1.0, 0, 22), (3, 21.0, 21.0, 1.0, 0, 21), (4, 11.0, 18.0, 0.6111111111111112, 5, 23), (5, 7.0, 18.0, 0.3888888888888889, 5, 23), (6, 12.0, 14.0, 0.8571428571428571, 9, 23)]",95,2,10.158999919891357,0.0
Experiment 3,No Flexibility,28.0,"[[(0.0, 28.0)], [(25, 3.0)], [(20, 8.0)], [(12, 1), (16, 12.0)], [(0.0, 8.0), (14, 4), (24, 1)], [(0.0, 8.0), (14, 3), (26, 2.0)], [(0.0, 3.0), (19, 2), (25, 3.0)], [(0.0, 28.0)]]","[[28.0], [3.0], [8.0], [1, 12.0], [8.0, 4, 1], [8.0, 3, 2.0], [3.0, 2, 3.0], [28.0]]","[(0, 0.0, 0.0), (1, 25, 0.8928571428571429), (2, 20, 0.7142857142857143), (3, 15, 0.5357142857142857), (4, 15, 0.5357142857142857), (5, 15, 0.5357142857142857), (6, 20, 0.7142857142857143), (7, 0.0, 0.0)]","[(1, 25.0, 25.0, 1.0, 0, 25), (2, 20.0, 20.0, 1.0, 0, 20), (3, 15.0, 16.0, 0.9375, 0, 16), (4, 15.0, 20.0, 0.75, 8, 28), (5, 15.0, 18.0, 0.8333333333333334, 8, 26), (6, 20.0, 22.0, 0.9090909090909091, 3, 25)]",110,2,0.24600005149841309,0.0
