,experiment,experiment_version,experiment_index,makespan,downtime_over_makespan,downtime_per_machine,usage,active_usage,total_work_content,status,runtime,gap
0,Experiment 1,No Flexibility,0,32.0,"[[(0.0, 32.0)], [(8, 24.0)], [(30, 2.0)], [(6, 26.0)], [(0.0, 4.0), (6, 2), (10, 22.0)], [(0.0, 6.0), (10, 2), (20, 1), (23, 1), (26, 1), (29, 1)], [(0.0, 2.0), (11, 21.0)], [(0.0, 32.0)]]","[[32.0], [24.0], [2.0], [26.0], [4.0, 2, 22.0], [6.0, 2, 1, 1, 1, 1], [2.0, 21.0], [32.0]]","[(0, 0.0, 0.0), (1, 8, 0.25), (2, 30, 0.9375), (3, 6, 0.1875), (4, 4, 0.125), (5, 20, 0.625), (6, 9, 0.28125), (7, 0.0, 0.0)]","[(1, 8.0, 8.0, 1.0, 0, 8), (2, 30.0, 30.0, 1.0, 0, 30), (3, 6.0, 6.0, 1.0, 0, 6), (4, 4.0, 6.0, 0.6666666666666666, 4, 10), (5, 20.0, 26.0, 0.7692307692307693, 6, 32), (6, 9.0, 9.0, 1.0, 2, 11)]",77,2,0.1919999122619629,0.0
1,Experiment 1,Low Flexibility,0,17.0,"[[(0.0, 17.0)], [(14, 3.0)], [(15, 2.0)], [(15, 2.0)], [(0.0, 4.0)], [(0.0, 6.0), (8, 1), (11, 1), (14, 1)], [(0.0, 3.0), (5, 1), (8, 1)], [(0.0, 17.0)]]","[[17.0], [3.0], [2.0], [2.0], [4.0], [6.0, 1, 1, 1], [3.0, 1, 1], [17.0]]","[(0, 0.0, 0.0), (1, 14, 0.8235294117647058), (2, 15, 0.8823529411764706), (3, 15, 0.8823529411764706), (4, 13, 0.7647058823529411), (5, 8, 0.47058823529411764), (6, 12, 0.7058823529411765), (7, 0.0, 0.0)]","[(1, 14.0, 14.0, 1.0, 0, 14), (2, 15.0, 15.0, 1.0, 0, 15), (3, 15.0, 15.0, 1.0, 0, 15), (4, 13.0, 13.0, 1.0, 4, 17), (5, 8.0, 11.0, 0.7272727272727273, 6, 17), (6, 12.0, 14.0, 0.8571428571428571, 3, 17)]",77,2,1.5049998760223389,0.0
2,Experiment 1,High Flexibility,0,17.0,"[[(0.0, 17.0)], [(15, 2.0)], [(14, 3.0)], [(15, 2.0)], [(0.0, 2.0), (14, 1)], [(0.0, 5.0), (7, 4), (16, 1.0)], [(0.0, 4.0), (6, 1)], [(0.0, 17.0)]]","[[17.0], [2.0], [3.0], [2.0], [2.0, 1], [5.0, 4, 1.0], [4.0, 1], [17.0]]","[(0, 0.0, 0.0), (1, 15, 0.8823529411764706), (2, 14, 0.8235294117647058), (3, 15, 0.8823529411764706), (4, 14, 0.8235294117647058), (5, 7, 0.4117647058823529), (6, 12, 0.7058823529411765), (7, 0.0, 0.0)]","[(1, 15.0, 15.0, 1.0, 0, 15), (2, 14.0, 14.0, 1.0, 0, 14), (3, 15.0, 15.0, 1.0, 0, 15), (4, 14.0, 15.0, 0.9333333333333333, 2, 17), (5, 7.0, 11.0, 0.6363636363636364, 5, 16), (6, 12.0, 13.0, 0.9230769230769231, 4, 17)]",77,2,6.697999954223633,0.0
3,Experiment 1,No Flexibility,1,23.0,"[[(0.0, 23.0)], [(12, 1), (15, 8.0)], [(4, 1), (7, 16.0)], [(20, 3.0)], [(0.0, 2.0)], [(0.0, 4.0), (6, 1), (9, 3), (14, 9.0)], [(0.0, 13.0)], [(0.0, 23.0)]]","[[23.0], [1, 8.0], [1, 16.0], [3.0], [2.0], [4.0, 1, 3, 9.0], [13.0], [23.0]]","[(0, 0.0, 0.0), (1, 14, 0.6086956521739131), (2, 6, 0.2608695652173913), (3, 20, 0.8695652173913043), (4, 21, 0.9130434782608695), (5, 6, 0.2608695652173913), (6, 10, 0.43478260869565216), (7, 0.0, 0.0)]","[(1, 14.0, 15.0, 0.9333333333333333, 0, 15), (2, 6.0, 7.0, 0.8571428571428571, 0, 7), (3, 20.0, 20.0, 1.0, 0, 20), (4, 21.0, 21.0, 1.0, 2, 23), (5, 6.0, 10.0, 0.6, 4, 14), (6, 10.0, 10.0, 1.0, 13, 23)]",77,2,0.1490001678466797,0.0
4,Experiment 1,Low Flexibility,1,16.0,"[[(0.0, 16.0)], [(12, 4.0)], [(14, 2.0)], [(14, 2.0)], [(0.0, 2.0), (10, 1)], [(0.0, 2.0), (5, 1), (15, 1.0)], [(0.0, 4.0)], [(0.0, 16.0)]]","[[16.0], [4.0], [2.0], [2.0], [2.0, 1], [2.0, 1, 1.0], [4.0], [16.0]]","[(0, 0.0, 0.0), (1, 12, 0.75), (2, 14, 0.875), (3, 14, 0.875), (4, 13, 0.8125), (5, 12, 0.75), (6, 12, 0.75), (7, 0.0, 0.0)]","[(1, 12.0, 12.0, 1.0, 0, 12), (2, 14.0, 14.0, 1.0, 0, 14), (3, 14.0, 14.0, 1.0, 0, 14), (4, 13.0, 14.0, 0.9285714285714286, 2, 16), (5, 12.0, 13.0, 0.9230769230769231, 2, 15), (6, 12.0, 12.0, 1.0, 4, 16)]",77,2,1.871999979019165,0.0
5,Experiment 1,High Flexibility,1,16.0,"[[(0.0, 16.0)], [(14, 2.0)], [(10, 1), (13, 3.0)], [(14, 2.0)], [(0.0, 4.0), (9, 1), (13, 1)], [(0.0, 2.0)], [(0.0, 2.0), (7, 1)], [(0.0, 16.0)]]","[[16.0], [2.0], [1, 3.0], [2.0], [4.0, 1, 1], [2.0], [2.0, 1], [16.0]]","[(0, 0.0, 0.0), (1, 14, 0.875), (2, 12, 0.75), (3, 14, 0.875), (4, 10, 0.625), (5, 14, 0.875), (6, 13, 0.8125), (7, 0.0, 0.0)]","[(1, 14.0, 14.0, 1.0, 0, 14), (2, 12.0, 13.0, 0.9230769230769231, 0, 13), (3, 14.0, 14.0, 1.0, 0, 14), (4, 10.0, 12.0, 0.8333333333333334, 4, 16), (5, 14.0, 14.0, 1.0, 2, 16), (6, 13.0, 14.0, 0.9285714285714286, 2, 16)]",77,2,8.713000059127808,0.0
6,Experiment 1,No Flexibility,2,26.0,"[[(0.0, 26.0)], [(6, 20.0)], [(24, 2.0)], [(20, 6.0)], [(0.0, 3.0), (7, 2), (13, 13.0)], [(0.0, 3.0), (5, 6), (17, 1)], [(0.0, 6.0), (8, 4), (16, 4), (22, 1), (25, 1.0)], [(0.0, 26.0)]]","[[26.0], [20.0], [2.0], [6.0], [3.0, 2, 13.0], [3.0, 6, 1], [6.0, 4, 4, 1, 1.0], [26.0]]","[(0, 0.0, 0.0), (1, 6, 0.23076923076923078), (2, 24, 0.9230769230769231), (3, 20, 0.7692307692307693), (4, 8, 0.3076923076923077), (5, 16, 0.6153846153846154), (6, 10, 0.38461538461538464), (7, 0.0, 0.0)]","[(1, 6.0, 6.0, 1.0, 0, 6), (2, 24.0, 24.0, 1.0, 0, 24), (3, 20.0, 20.0, 1.0, 0, 20), (4, 8.0, 10.0, 0.8, 3, 13), (5, 16.0, 23.0, 0.6956521739130435, 3, 26), (6, 10.0, 19.0, 0.5263157894736842, 6, 25)]",84,2,0.3529999256134033,0.0
7,Experiment 1,Low Flexibility,2,20.0,"[[(0.0, 20.0)], [(15, 5.0)], [(18, 2.0)], [(7, 1), (18, 2.0)], [(0.0, 4.0), (10, 2), (14, 2)], [(0.0, 5.0), (7, 1), (16, 2)], [(0.0, 10.0)], [(0.0, 20.0)]]","[[20.0], [5.0], [2.0], [1, 2.0], [4.0, 2, 2], [5.0, 1, 2], [10.0], [20.0]]","[(0, 0.0, 0.0), (1, 15, 0.75), (2, 18, 0.9), (3, 17, 0.85), (4, 12, 0.6), (5, 12, 0.6), (6, 10, 0.5), (7, 0.0, 0.0)]","[(1, 15.0, 15.0, 1.0, 0, 15), (2, 18.0, 18.0, 1.0, 0, 18), (3, 17.0, 18.0, 0.9444444444444444, 0, 18), (4, 12.0, 16.0, 0.75, 4, 20), (5, 12.0, 15.0, 0.8, 5, 20), (6, 10.0, 10.0, 1.0, 10, 20)]",84,2,2.938999891281128,0.0
8,Experiment 1,High Flexibility,2,19.0,"[[(0.0, 19.0)], [(16, 3.0)], [(17, 2.0)], [(17, 2.0)], [(0.0, 7.0)], [(0.0, 5.0), (9, 1), (12, 2), (16, 1)], [(0.0, 3.0), (5, 3), (12, 1)], [(0.0, 19.0)]]","[[19.0], [3.0], [2.0], [2.0], [7.0], [5.0, 1, 2, 1], [3.0, 3, 1], [19.0]]","[(0, 0.0, 0.0), (1, 16, 0.8421052631578947), (2, 17, 0.8947368421052632), (3, 17, 0.8947368421052632), (4, 12, 0.631578947368421), (5, 10, 0.5263157894736842), (6, 12, 0.631578947368421), (7, 0.0, 0.0)]","[(1, 16.0, 16.0, 1.0, 0, 16), (2, 17.0, 17.0, 1.0, 0, 17), (3, 17.0, 17.0, 1.0, 0, 17), (4, 12.0, 12.0, 1.0, 7, 19), (5, 10.0, 14.0, 0.7142857142857143, 5, 19), (6, 12.0, 16.0, 0.75, 3, 19)]",84,2,7.7850000858306885,0.0
9,Experiment 1,No Flexibility,3,34.0,"[[(0.0, 34.0)], [(32, 2.0)], [(24, 10.0)], [(3, 31.0)], [(0.0, 10.0), (14, 4), (22, 1), (27, 1), (30, 2)], [(0.0, 8.0), (12, 2), (16, 1), (19, 5), (26, 3), (31, 3.0)], [(0.0, 3.0), (6, 28.0)], [(0.0, 34.0)]]","[[34.0], [2.0], [10.0], [31.0], [10.0, 4, 1, 1, 2], [8.0, 2, 1, 5, 3, 3.0], [3.0, 28.0], [34.0]]","[(0, 0.0, 0.0), (1, 32, 0.9411764705882353), (2, 24, 0.7058823529411765), (3, 3, 0.08823529411764706), (4, 16, 0.47058823529411764), (5, 12, 0.35294117647058826), (6, 3, 0.08823529411764706), (7, 0.0, 0.0)]","[(1, 32.0, 32.0, 1.0, 0, 32), (2, 24.0, 24.0, 1.0, 0, 24), (3, 3.0, 3.0, 1.0, 0, 3), (4, 16.0, 24.0, 0.6666666666666666, 10, 34), (5, 12.0, 23.0, 0.5217391304347826, 8, 31), (6, 3.0, 3.0, 1.0, 3, 6)]",90,2,0.16499996185302734,0.0
