,experiment,experiment_version,experiment_index,makespan,downtime_over_makespan,downtime_per_machine,usage,active_usage,total_work_content,status,runtime,gap
0,Experiment 4,3 Layers-Batch Size = 15,0,29.0,"[[(0.0, 29.0)], [(0.0, 29.0)], [(18, 1)], [(28, 1.0)], [(0.0, 29.0)]]","[[29.0], [], [1], [1.0], [29.0]]","[(0, 0.0, 0.0), (1, 29, 1.0), (2, 28, 0.9655172413793104), (3, 28, 0.9655172413793104), (4, 0.0, 0.0)]","[(1, 29.0, 29.0, 1.0, 0, 29), (2, 28.0, 29.0, 0.9655172413793104, 0, 29), (3, 28.0, 28.0, 1.0, 0, 28)]",85,2,2.46399998664856,0.0
1,Experiment 4,3 Layers-Batch Size = 30,0,57.0,"[[(0.0, 57.0)], [(0.0, 57.0)], [(0.0, 57.0)], [(0.0, 57.0)], [(0.0, 57.0)]]","[[57.0], [], [], [], [57.0]]","[(0, 0.0, 0.0), (1, 57, 1.0), (2, 57, 1.0), (3, 57, 1.0), (4, 0.0, 0.0)]","[(1, 57.0, 57.0, 1.0, 0, 57), (2, 57.0, 57.0, 1.0, 0, 57), (3, 57.0, 57.0, 1.0, 0, 57)]",171,2,93.7960000038147,0.0
2,Experiment 4,3 Layers-Batch Size = 45,0,83.0,"[[(0.0, 83.0)], [(0.0, 83.0)], [(82, 1.0)], [(0.0, 83.0)], [(0.0, 83.0)]]","[[83.0], [], [1.0], [], [83.0]]","[(0, 0.0, 0.0), (1, 83, 1.0), (2, 82, 0.9879518072289156), (3, 83, 1.0), (4, 0.0, 0.0)]","[(1, 83.0, 83.0, 1.0, 0, 83), (2, 82.0, 82.0, 1.0, 0, 82), (3, 83.0, 83.0, 1.0, 0, 83)]",248,2,822.0710000991821,0.0
3,Experiment 4,4 Layers-Batch Size = 15,0,17.0,"[[(0.0, 17.0)], [(14, 3.0)], [(15, 2.0)], [(15, 2.0)], [(0.0, 4.0)], [(0.0, 6.0), (8, 1), (11, 1), (14, 1)], [(0.0, 3.0), (5, 1), (8, 1)], [(0.0, 17.0)]]","[[17.0], [3.0], [2.0], [2.0], [4.0], [6.0, 1, 1, 1], [3.0, 1, 1], [17.0]]","[(0, 0.0, 0.0), (1, 14, 0.8235294117647058), (2, 15, 0.8823529411764706), (3, 15, 0.8823529411764706), (4, 13, 0.7647058823529411), (5, 8, 0.47058823529411764), (6, 12, 0.7058823529411765), (7, 0.0, 0.0)]","[(1, 14.0, 14.0, 1.0, 0, 14), (2, 15.0, 15.0, 1.0, 0, 15), (3, 15.0, 15.0, 1.0, 0, 15), (4, 13.0, 13.0, 1.0, 4, 17), (5, 8.0, 11.0, 0.7272727272727273, 6, 17), (6, 12.0, 14.0, 0.8571428571428571, 3, 17)]",77,2,1.4909999370574951,0.0
4,Experiment 4,4 Layers-Batch Size = 30,0,32.0,"[[(0.0, 32.0)], [(30, 2.0)], [(30, 2.0)], [(22, 1), (30, 2.0)], [(0.0, 3.0), (9, 1)], [(0.0, 6.0), (8, 1), (11, 1)], [(0.0, 3.0), (6, 4), (12, 1), (16, 2)], [(0.0, 32.0)]]","[[32.0], [2.0], [2.0], [1, 2.0], [3.0, 1], [6.0, 1, 1], [3.0, 4, 1, 2], [32.0]]","[(0, 0.0, 0.0), (1, 30, 0.9375), (2, 30, 0.9375), (3, 29, 0.90625), (4, 28, 0.875), (5, 24, 0.75), (6, 22, 0.6875), (7, 0.0, 0.0)]","[(1, 30.0, 30.0, 1.0, 0, 30), (2, 30.0, 30.0, 1.0, 0, 30), (3, 29.0, 30.0, 0.9666666666666667, 0, 30), (4, 28.0, 29.0, 0.9655172413793104, 3, 32), (5, 24.0, 26.0, 0.9230769230769231, 6, 32), (6, 22.0, 29.0, 0.7586206896551724, 3, 32)]",163,2,36.95599985122681,0.0
5,Experiment 4,4 Layers-Batch Size = 45,0,44.0,"[[(0.0, 44.0)], [(38, 1), (41, 3.0)], [(38, 6.0)], [(12, 1), (22, 1), (39, 5.0)], [(0.0, 2.0)], [(0.0, 8.0), (26, 1), (43, 1.0)], [(0.0, 2.0)], [(0.0, 44.0)]]","[[44.0], [1, 3.0], [6.0], [1, 1, 5.0], [2.0], [8.0, 1, 1.0], [2.0], [44.0]]","[(0, 0.0, 0.0), (1, 40, 0.9090909090909091), (2, 38, 0.8636363636363636), (3, 37, 0.8409090909090909), (4, 42, 0.9545454545454546), (5, 34, 0.7727272727272727), (6, 42, 0.9545454545454546), (7, 0.0, 0.0)]","[(1, 40.0, 41.0, 0.975609756097561, 0, 41), (2, 38.0, 38.0, 1.0, 0, 38), (3, 37.0, 39.0, 0.9487179487179487, 0, 39), (4, 42.0, 42.0, 1.0, 2, 44), (5, 34.0, 35.0, 0.9714285714285714, 8, 43), (6, 42.0, 42.0, 1.0, 2, 44)]",233,2,155.35199999809265,0.0
6,Experiment 4,5 Layers-Batch Size = 15,0,26.0,"[[(0.0, 26.0)], [(24, 2.0)], [(20, 6.0)], [(3, 2), (13, 13.0)], [(0.0, 13.0), (14, 5), (22, 2), (25, 1.0)], [(0.0, 6.0), (7, 3), (11, 1), (14, 1), (16, 1), (18, 2), (21, 5.0)], [(0.0, 3.0), (4, 4), (10, 3), (14, 12.0)], [(0.0, 13.0), (14, 6), (23, 2)], [(0.0, 12.0), (13, 3), (19, 2), (23, 1), (25, 1.0)], [(0.0, 4.0), (5, 6), (12, 3), (16, 10.0)], [(0.0, 26.0)]]","[[26.0], [2.0], [6.0], [2, 13.0], [13.0, 5, 2, 1.0], [6.0, 3, 1, 1, 1, 2, 5.0], [3.0, 4, 3, 12.0], [13.0, 6, 2], [12.0, 3, 2, 1, 1.0], [4.0, 6, 3, 10.0], [26.0]]","[(0, 0.0, 0.0), (1, 24, 0.9230769230769231), (2, 20, 0.7692307692307693), (3, 11, 0.4230769230769231), (4, 5, 0.19230769230769232), (5, 7, 0.2692307692307692), (6, 4, 0.15384615384615385), (7, 5, 0.19230769230769232), (8, 7, 0.2692307692307692), (9, 3, 0.11538461538461539), (10, 0.0, 0.0)]","[(1, 24.0, 24.0, 1.0, 0, 24), (2, 20.0, 20.0, 1.0, 0, 20), (3, 11.0, 13.0, 0.8461538461538461, 0, 13), (4, 5.0, 12.0, 0.4166666666666667, 13, 25), (5, 7.0, 15.0, 0.4666666666666667, 6, 21), (6, 4.0, 11.0, 0.36363636363636365, 3, 14), (7, 5.0, 13.0, 0.38461538461538464, 13, 26), (8, 7.0, 13.0, 0.5384615384615384, 12, 25), (9, 3.0, 12.0, 0.25, 4, 16)]",86,2,1.243000030517578,0.0
7,Experiment 4,5 Layers-Batch Size = 30,0,33.0,"[[(0.0, 33.0)], [(30, 3.0)], [(31, 2.0)], [(31, 2.0)], [(0.0, 7.0), (8, 4), (14, 6), (23, 1), (25, 2), (32, 1.0)], [(0.0, 13.0), (14, 1), (16, 1), (19, 2), (22, 3), (26, 1), (29, 1), (32, 1.0)], [(0.0, 7.0), (15, 2), (20, 3), (24, 1), (31, 2.0)], [(0.0, 14.0), (16, 5), (22, 2), (27, 1)], [(0.0, 16.0), (17, 2), (20, 1), (22, 2), (25, 1), (29, 1)], [(0.0, 11.0), (12, 3), (16, 10)], [(0.0, 33.0)]]","[[33.0], [3.0], [2.0], [2.0], [7.0, 4, 6, 1, 2, 1.0], [13.0, 1, 1, 2, 3, 1, 1, 1.0], [7.0, 2, 3, 1, 2.0], [14.0, 5, 2, 1], [16.0, 2, 1, 2, 1, 1], [11.0, 3, 10], [33.0]]","[(0, 0.0, 0.0), (1, 30, 0.9090909090909091), (2, 31, 0.9393939393939394), (3, 31, 0.9393939393939394), (4, 12, 0.36363636363636365), (5, 10, 0.30303030303030304), (6, 18, 0.5454545454545454), (7, 11, 0.3333333333333333), (8, 10, 0.30303030303030304), (9, 9, 0.2727272727272727), (10, 0.0, 0.0)]","[(1, 30.0, 30.0, 1.0, 0, 30), (2, 31.0, 31.0, 1.0, 0, 31), (3, 31.0, 31.0, 1.0, 0, 31), (4, 12.0, 25.0, 0.48, 7, 32), (5, 10.0, 19.0, 0.5263157894736842, 13, 32), (6, 18.0, 24.0, 0.75, 7, 31), (7, 11.0, 19.0, 0.5789473684210527, 14, 33), (8, 10.0, 17.0, 0.5882352941176471, 16, 33), (9, 9.0, 22.0, 0.4090909090909091, 11, 33)]",162,2,33.42300009727478,0.0
8,Experiment 4,5 Layers-Batch Size = 45,0,53.0,"[[(0.0, 53.0)], [(50, 3.0)], [(51, 2.0)], [(50, 3.0)], [(0.0, 5.0), (6, 5), (12, 1), (14, 1), (16, 2), (20, 5), (26, 2), (30, 1), (32, 1), (37, 1), (39, 5), (46, 1), (48, 2), (52, 1.0)], [(0.0, 12.0), (13, 4), (19, 2), (22, 6), (29, 3), (33, 1), (36, 1), (39, 4), (45, 1), (48, 1), (52, 1.0)], [(0.0, 9.0), (10, 7), (20, 11), (32, 1), (36, 1), (39, 4), (44, 2), (51, 2.0)], [(0.0, 26.0), (27, 1), (29, 7), (37, 2), (42, 4)], [(0.0, 10.0), (11, 4), (16, 6), (23, 6), (30, 3), (34, 1), (36, 1), (39, 1), (41, 2), (44, 2)], [(0.0, 19.0), (20, 2), (23, 7), (31, 5), (37, 1), (40, 1), (42, 2), (47, 1)], [(0.0, 53.0)]]","[[53.0], [3.0], [2.0], [3.0], [5.0, 5, 1, 1, 2, 5, 2, 1, 1, 1, 5, 1, 2, 1.0], [12.0, 4, 2, 6, 3, 1, 1, 4, 1, 1, 1.0], [9.0, 7, 11, 1, 1, 4, 2, 2.0], [26.0, 1, 7, 2, 4], [10.0, 4, 6, 6, 3, 1, 1, 1, 2, 2], [19.0, 2, 7, 5, 1, 1, 2, 1], [53.0]]","[(0, 0.0, 0.0), (1, 50, 0.9433962264150944), (2, 51, 0.9622641509433962), (3, 50, 0.9433962264150944), (4, 20, 0.37735849056603776), (5, 17, 0.32075471698113206), (6, 16, 0.3018867924528302), (7, 13, 0.24528301886792453), (8, 17, 0.32075471698113206), (9, 15, 0.2830188679245283), (10, 0.0, 0.0)]","[(1, 50.0, 50.0, 1.0, 0, 50), (2, 51.0, 51.0, 1.0, 0, 51), (3, 50.0, 50.0, 1.0, 0, 50), (4, 20.0, 47.0, 0.425531914893617, 5, 52), (5, 17.0, 40.0, 0.425, 12, 52), (6, 16.0, 42.0, 0.38095238095238093, 9, 51), (7, 13.0, 27.0, 0.48148148148148145, 26, 53), (8, 17.0, 43.0, 0.3953488372093023, 10, 53), (9, 15.0, 34.0, 0.4411764705882353, 19, 53)]",249,2,108.69900012016296,0.0
9,Experiment 4,6 Layers-Batch Size = 15,0,13.0,"[[(0.0, 13.0)], [(7, 6.0)], [(3, 1), (5, 8.0)], [(4, 9.0)], [(0.0, 1.0), (11, 2.0)], [(0.0, 2.0), (11, 2.0)], [(0.0, 1.0), (10, 3.0)], [(0.0, 2.0), (10, 1), (12, 1.0)], [(0.0, 4.0), (5, 1), (7, 1), (12, 1.0)], [(0.0, 3.0), (9, 1), (12, 1.0)], [(0.0, 6.0)], [(0.0, 8.0), (9, 1)], [(0.0, 7.0), (8, 2)], [(0.0, 13.0)]]","[[13.0], [6.0], [1, 8.0], [9.0], [1.0, 2.0], [2.0, 2.0], [1.0, 3.0], [2.0, 1, 1.0], [4.0, 1, 1, 1.0], [3.0, 1, 1.0], [6.0], [8.0, 1], [7.0, 2], [13.0]]","[(0, 0.0, 0.0), (1, 7, 0.5384615384615384), (2, 4, 0.3076923076923077), (3, 4, 0.3076923076923077), (4, 10, 0.7692307692307693), (5, 9, 0.6923076923076923), (6, 9, 0.6923076923076923), (7, 9, 0.6923076923076923), (8, 6, 0.46153846153846156), (9, 8, 0.6153846153846154), (10, 7, 0.5384615384615384), (11, 4, 0.3076923076923077), (12, 4, 0.3076923076923077), (13, 0.0, 0.0)]","[(1, 7.0, 7.0, 1.0, 0, 7), (2, 4.0, 5.0, 0.8, 0, 5), (3, 4.0, 4.0, 1.0, 0, 4), (4, 10.0, 10.0, 1.0, 1, 11), (5, 9.0, 9.0, 1.0, 2, 11), (6, 9.0, 9.0, 1.0, 1, 10), (7, 9.0, 10.0, 0.9, 2, 12), (8, 6.0, 8.0, 0.75, 4, 12), (9, 8.0, 9.0, 0.8888888888888888, 3, 12), (10, 7.0, 7.0, 1.0, 6, 13), (11, 4.0, 5.0, 0.8, 8, 13), (12, 4.0, 6.0, 0.6666666666666666, 7, 13)]",81,2,3.184000015258789,0.0
